basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,4510,NA,NA,NA,NA,NA,94000,NA,JASO3,14152000,NA,43.99818166,NA,-122.9059126,NA,2019-05-31T07:00:00Z,NA,"Middle Fork Willamette River At Jasper, Or",NA,10,4.45,or
NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,14152500,NA,43.64151015,NA,-123.0859089,NA,2019-05-31T06:15:00Z,NA,"Coast Fork Willamette At London, Or",NA,NA,1.63,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14153000,NA,43.7165111,NA,-123.0497992,NA,2019-05-31T06:00:00Z,NA,"Cottage Grove Lake Nr Cottage Grove,oreg.",NA,NA,785.2,or
NA,NA,77.5,NA,NA,NA,NA,NA,5910,NA,COTO3,14153500,NA,43.72067785,NA,-123.0497994,NA,2019-05-31T05:45:00Z,NA,"Coast Fork Willamette R Blw Cottage Grove Dam, Or",NA,NA,3.24,or
NA,NA,89.1,NA,NA,NA,NA,NA,33100,NA,DRRO3,14154500,NA,43.7359565,NA,-122.8734019,NA,2019-05-31T07:15:00Z,NA,"Row River Above Pitcher Creek, Near Dorena, Or",NA,NA,2.59,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14155000,NA,43.78595685,NA,-122.9553524,NA,2019-05-31T07:30:00Z,NA,"Dorena Lake Near Cottage Grove, Or",NA,NA,825,or
NA,NA,190,NA,NA,NA,NA,NA,21400,NA,NA,14155500,NA,43.7929012,NA,-122.9914655,NA,2019-05-31T06:00:00Z,NA,"Row River Near Cottage Grove, Or",NA,NA,2.26,or
NA,NA,358,NA,NA,NA,NA,NA,58500,NA,GOSO3,14157500,NA,43.98040324,NA,-122.96647,NA,2019-05-31T06:15:00Z,NA,"Coast Fork Willamette River Near Goshen, Or",NA,13,1.81,or
NA,NA,434,NA,NA,NA,NA,NA,3300,NA,MOCO3,14158500,NA,44.3609545,NA,-121.9956172,NA,2019-05-31T07:30:00Z,NA,"Mckenzie River At Outlet Of Clear Lake, Or",NA,NA,2.38,or
NA,NA,902,NA,NA,NA,NA,NA,979,NA,NA,14158740,NA,44.28638889,NA,-122.0368056,NA,2019-05-31T07:00:00Z,NA,"Mckenzie River Bl Payne Cr, Nr Belknap Springs, Or",NA,NA,2095.26,or
