id_usgs,name_usgs,id_nws
9427520,"Colorado River Below Parker Dam, Az-ca",CPDC1
9421500,"Colorado Rv Blw Hoover Dam, Az-nv",BHDA3
14246900,"Columbia River @ Beaver Army Terminal Nr Quincy,or",CBAO3
14113290,"Columbia River At Hood River, Or",
14128600,"Columbia River At Stevenson, Wa",
14105700,"Columbia River At The Dalles, Or",
14144700,"Columbia River At Vancouver, Wa",
14128870,"Columbia River Below Bonneville Dam, Or",
14211820,"Columbia Slough At Portland, Or",
11465660,Copeland C A Rohnert Park Ca,ROHC1
14327055,"Coquille River At Coquille, Or",COQO3
9419625,"Corn Ck Spgs At National Fish & Wildlife Hdqrs, Nv",CCSN2
11159200,Corralitos C A Freedom Ca,CCFC1
11460000,Corte Madera C A Ross Ca,CMDC1
11335000,Cosumnes R A Michigan Bar Ca,MHBC1
14153000,"Cottage Grove Lake Nr Cottage Grove,oreg.",
11376000,Cottonwood C Nr Cottonwood Ca,CTWC1
14159410,"Cougar Dam Tailwater Near Rainbow, Or",
14159400,"Cougar Lake Near Rainbow, Or",
11374000,Cow C Nr Millville Ca,CWCC1
14308990,"Cow Creek Abv Galesville Res, Nr Azalea, Or.",COGO3
14309000,"Cow Creek Near Azalea, Or",
14310000,"Cow Creek Near Riddle, Or",RDLO3
11172175,Coyote C Ab Hwy 237 A Milpitas Ca,CMIC1
11169860,Coyote C Bl Coyote Res Nr San Martin Ca,RCCC1
11169800,Coyote C Nr Gilroy Ca,NRGC1
11492200,"Crater Lake Near Crater Lake, Or",CTRO3
11046360,Cristianitos C Ab San Mateo C Nr San Clemente Ca,CRIC1
14087400,"Crooked River Below Opal Springs, Near Culver, Or",
14087380,"Crooked River Blw Osborne Canyon, Nr Opal City, Or",
11180900,Crow C Nr Hayward Ca,KCRC1
9415589,"Crystal Spgs Div Nr Hiko, Nv",CSDN2
11073495,Cucamonga C Nr Mira Loma Ca,CCMC1
11180960,Cull C Ab Cull C Res Nr Castro Valley Ca,CULC1
11136800,Cuyama R Bl Buckhorn Cyn Nr Santa Maria Ca,CYBC1
10348550,"Davis Ck At Davis Ck Cmpgrd Rd Nr Washoe City, Nv",DVWN2
11044800,De Luz C Nr De Luz Ca,DLZC1
10265100,Deadman C A Big Springs Nr Crestview Ca,DDMC1
10260500,Deep C Nr Hesperia Ca,DKHC1
10259200,Deep C Nr Palm Desert Ca,DEPC1
11200800,Deer C Nr Fountain Springs Ca,DKCC1
11418500,Deer C Nr Smartsville Ca,DCSC1
11383500,Deer C Nr Vina Ca,DCVC1
11274630,Del Puerto C Nr Patterson Ca,PTTC1
11336600,Delta Cross Channel Nr Walnut Grove,
14103000,"Deschutes River At Moody, Near Biggs, Or",MODO3
14076500,"Deschutes River Near Culver, Or",
14092500,"Deschutes River Near Madras, Or",
10299100,"Desert Ck Nr Wellington, Nv",DCWN2
14180510,"Detroit Dam Tailwater Near Detroit, Or",
14180500,"Detroit Lake Near Detroit, Or",
11063680,Devil Cyn C Nr San Bernardino Ca,DCCC1
14149510,"Dexter Dam Tailwater At Dexter, Or",
14149500,"Dexter Lake At Dexter, Or",
14312450,"Diamond Lake Near Diamond Lake, Or",
14070621,"Diversion Canal To Bridge Creek, Near Bend, Or",
10347310,"Dog Ck At Verdi, Nv",DOGN2
11287500,Don Pedro Res Nr La Grange Ca,
11292600,Donnell Lk Nr Dardanelle Ca,
